BRD-K19290969-001-07-5	10-Methyl-10H-phenothiazin-3-ylamine
BRD-K41670583-001-05-0	5-Phenyl-2H-pyrazole-3-carboxylic acid
BRD-K83780283-001-05-9	6-(2,4-dibromophenylamino)-2-methyl-5-nitropyrimidin-4-ol KCR-4
BRD-K81538844-001-06-3	6-(2-Fluoro-benzyl)-2,4-dimethyl-4,6-dihydro-thieno[2',3':4,5]pyrrolo[2,3-d]pyridazin-5-one
BRD-K93443135-001-05-2	6-(3,5-dimethylisoxazol-4-yl)quinazolin-4(3H)-one 0033-034
BRD-K53423944-001-06-1	6-[4-(3-chlorophenyl)piperazin-1-yl]-3-cyclohexylpyrimidine-2,4(1H,3H)-dione
BRD-K19410523-001-01-1	6-[4-(7-chloroquinolin-4-yl)piperazin-1-yl]-3-cyclohexylpyrimidine-2,4(1H,3H)-dione
BRD-K59761766-001-05-5	6,6-dimethyl-3-(methylthio)-4-oxo-4,5,6,7-tetrahydrobenzo[c]thiophene-1-carboxylic acid MAY_6
BRD-K31453413-001-05-9	6,8-dimethyl-N-(4-{[(5-methyl-3-isoxazolyl)amino]sulfonyl}phenyl)-2-(2-pyridinyl)-4-quinolinecarboxamide MLS-0098578.0001
BRD-K70917163-001-04-0	6-amino-1-[2-(3,4-dimethoxyphenyl)ethyl]-2-thioxo-2,3-dihydro-4(1H)-pyrimidinone MLS000052933-02
BRD-K29715937-001-05-2	6-amino-1-(4-chlorophenyl)-4-(4-methylphenyl)-2-oxo-1,2-dihydro-3,5-pyridinedicarbonitrile BRD-K29715937
BRD-K50776152-001-12-0	6-amino-1-(4-methylphenyl)-2-oxo-4-phenyl-1,2-dihydro-3,5-pyridinedicarbonitrile BRD-K50776152
BRD-K37372998-001-05-8	6-amino-1-benzyl-3-methyl-5-nitroso-2-thioxo-2,3-dihydropyrimidin-4(1H)-one KAJ-8
BRD-K12168891-001-09-9	6-amino-4-(4-chlorophenyl)-1-(4-methylphenyl)-2-oxo-1,2-dihydro-3,5-pyridinedicarbonitrile BRD-K12168891
NGP-003-05_G05	6-aminoindazole
NGP-003-05_B04	6-azauridine
BRD-K15888437-001-06-6	[6-ethyl-2-methyl-3-(1-methylbenzimidazol-2-yl)-4-oxochromen-7-yl] acetate;210639-90-0 3570-0208
BRD-K45278408-001-05-1	6-fluoro-2-(2-methylphenyl)-1,2-benzisothiazol-3(2H)-one KUC103866N
BRD-K43913647-001-07-2	6-methoxy-2,3,4,9-tetrahydro-1H-pyrido[3,4-b]indol-1-one KLK-1
BRD-K40480443-001-01-4	7-(4-(furan-2-ylmethyl)piperazin-1-yl)-2-(3-methoxyphenyl)-5,6-dimethylpyrazolo[1,5-a]pyrimidine KUC105885N
BRD-K08799912-001-04-3	799264-48-5 MLS-0425609
BRD-K24632213-001-08-3	7-Benzyl-8-isopropylsulfanyl-3-methyl-3,7-dihydro-purine-2,6-dione
BRD-K36111767-001-15-9	7-chloro-4-[4-(4-chlorobenzoyl)-1-piperazinyl]quinoline BRD-K36111767
BRD-K97629076-001-05-3	7-chloro-4H-benzo[b]thieno[3,4-e][1,4]diazepin-10(9H)-one KAJ-3
BRD-K03371390-001-06-2	7-fluoro-6-methoxy-2,3,4,9-tetrahydro-1H-pyrido[3,4-b]indol-1-one KLK-40
BRD-K03568209-001-12-2	7-hydroxy-2,3,4,5-tetrahydro-1H-[1]benzofuro[2,3-c]azepin-1-one
NGP-003-05_C07	7-nitroindazole
BRD-K36772364-001-06-4	8-{[2-oxo-2-(1-pyrrolidinyl)ethyl]thio}quinoline
BRD-A93426597-019-03-7	939792-14-0
BRD-A28412351-001-05-6	(9aR,12aR)-8-methoxy-2-methyl-3,4,9a,11,12,12a-hexahydro-1H-benzofuro[3,2-e]isoquinolin-10(2H)-one KCR-15
BRD-K73125384-001-05-7	Acetic acid N-(2-methoxy-phenyl)-N'-[3-oxo-3H-benzo[b]thiophen-(2Z)-ylidene]-hydrazide
NGP 201-04_G05	acyclovir
BRD-K76064317-001-03-2	AG-1296
BRD-K68336408-001-03-4	AG-1478
BRD-K49657628-001-05-6	AG 18
BRD-K33204703-001-03-8	AG-370
BRD-K12357156-001-01-5	AG 490
BRD-K47105409-001-04-6	AG-490
BRD-K34533029-001-01-0	AG 494
BRD-K81209512-001-01-3	AG 494
BRD-K43405658-001-01-8	AG 527
BRD-K07888196-001-01-8	AG 538
BRD-K72783841-001-01-0	AG 555
BRD-K14441456-001-01-2	AG 556
BRD-K89930444-001-01-9	AG 592
BRD-K03670461-001-02-0	AG 82
BRD-K08132273-001-01-6	AG 825
BRD-K87919739-001-03-4	AG 825
BRD-K59469039-001-03-1	AG-879
BRD-K41996876-001-03-0	AG 9
BRD-K36737713-001-01-6	AG 957
BRD-K51223576-001-01-3	AG 99
BRD-K93080877-001-02-1	Ala-Ala-Phe-CMK
BRD-A14966924-001-03-0	ALAPROCLATE
BRD-K79131256-001-08-8	ALBENDAZOLE
BRD-A90131694-001-02-8	ALCLOMETAZONE DIPROPIONATE
BRD-K51751936-001-03-4	Alfadolone acetate
BRD-K41445866-001-03-0	Alfaxalone
BRD-A09056319-001-05-5	ALFLUZOSIN
BRD-K30020243-051-01-7	ALISKIREN HEMIFUMARATE
BRD-K51276371-001-02-6	Aloisine
BRD-K93658967-001-01-7	Aloisine A
BRD-A00993607-003-15-4	ALPRENOLOL
BRD-K52459643-001-10-2	Alprostadil
BRD-K35498378-001-05-3	ALRESTATIN
BRD-K00610438-003-01-7	Altanserin hydrochloride
BRD-A56675431-001-07-3	ALTHIAZIDE
BRD-A27554692-001-01-3	ALTRENOGEST
BRD-K67043667-001-15-7	ALTRETAMINE
BRD-K89055274-048-14-4	ALVERINE CITRATE
BRD-K53979406-003-01-0	ALX 5407 hydrochloride
NGP-003-05_F08	am-251
BRD-K92000912-001-06-8	AM 251
BRD-K59419204-001-01-9	AM 281
BRD-K21667562-001-01-4	AM 404
BRD-K06854232-001-03-3	AM580
BRD-K63533170-001-01-1	AM 630
BRD-A11813248-003-01-6	AM 92016 hydrochloride
BRD-K70330367-003-03-8	AMANTADINE HYDROCHLORIDE
BRD-A10969569-001-02-0	AMBELLINE
BRD-K56558538-003-02-8	Ambroxol hydrochloride
BRD-A36010170-001-03-2	AMCINONIDE
BRD-K43068349-001-01-9	AMG 9810
BRD-K94512704-001-02-1	AMI-193
BRD-K97181089-003-10-6	Amiloride hydrochloride
BRD-K50214219-001-02-4	Amino-1,8-naphthalimide [4-Amino-1,8-naphthalimide]
BRD-K04976539-001-01-0	Aminogenistein
NGP 201-04_D05	aminoglutethimide
BRD-A25234499-001-09-2	AMINOGLUTETHIMIDE
BRD-A69917777-065-01-4	AMINOPENTAMIDE
BRD-K07762753-001-02-8	Aminopurvalanol A
BRD-K17561142-003-16-8	AMIODARONE HYDROCHLORIDE
BRD-A60197193-001-05-4	Amisulpride
BRD-K53737926-003-14-6	AMITRIPTYLINE HYDROCHLORIDE
BRD-A22032524-074-04-0	AMLODIPINE BESYLATE
BRD-K23335153-300-01-7	AMN 082 dihydrochloride
BRD-K91290917-336-03-8	Amodiaquin dihydrochloride dihydrate
BRD-K02265150-001-15-8	AMOXAPINE
BRD-K52397688-001-01-9	Amperozide
BRD-K98490050-001-01-8	AMSACRINE
BRD-K39670393-303-01-3	Amthamine dihydrobromide
BRD-A28318179-003-03-6	AMT hydrochloride
BRD-A09062839-003-03-5	Amyleine hydrochloride
BRD-K36638830-001-02-2	Anabasine
BRD-K62200014-003-05-5	ANAGRELIDE HYDROCHLORIDE
BRD-K87905482-001-02-4	ANANDAMIDE (18:2,n-6)
BRD-K78280988-001-02-2	ANANDAMIDE (20:3,n-6)
NGP-003-05_G06	anastrozole
BRD-A95513702-001-03-0	ANDROSTA-1,4-DIEN-3,17-DIONE
BRD-K08502430-001-01-0	Angiogenesis Inhibitor
BRD-A32349859-001-02-8	ANGOLENSIC ACID, METHYL ESTER
BRD-K88611939-001-10-9	Aniracetam
BRD-K91370081-001-10-3	Anisomycin
BRD-K55424922-003-01-0	Anpirtoline hydrochloride
BRD-K46937689-001-08-5	ANTIPYRINE
BRD-A42649439-001-02-8	API-2
BRD-K12057390-001-02-5	APIGENIN TRIACETATE
BRD-K15164005-001-02-3	Apoptosis Activator 2
BRD-K81729199-001-01-0	AQ-RA 741
BRD-K29555132-001-02-2	ARACHIDONAMIDE
BRD-K93188295-300-01-4	ARC 239 dihydrochloride
BRD-K53523901-001-02-8	Arctigenin
BRD-K72726508-001-01-3	Arcyriaflavin A
BRD-K63792901-075-01-3	Arecaidine but-2-ynyl ester tosylate
BRD-K23922020-075-01-1	Arecaidine propargyl ester tosylate
BRD-K91349888-001-04-5	arg-a1-22 BRD-K91349888
BRD-K39580048-001-04-7	arg-a1-2 BRD-K39580048
BRD-K17110974-001-04-7	aristolochic acid
BRD-K73395020-001-01-5	ARP 101
BRD-A70514680-003-03-9	Articaine hydrochloride
BRD-K34092021-001-02-3	Arvanil
BRD-A72758037-001-01-8	ASIATIC ACID
BRD-A66199457-001-02-2	Asiaticoside
BRD-K24564544-001-01-3	AT-CSC-07 BRD-K33720404
BRD-K83778500-001-01-9	AT-CSC-18 BRD-K01121114
BRD-A84493640-001-03-3	Atovaquone
BRD-A65145453-001-02-0	ATPA
BRD-K85013741-001-05-9	AURAPTENE
BRD-K78838262-001-02-4	AUSTRICINE
BRD-K64236792-002-03-2	Austricine hydrate
BRD-K03642198-300-01-7	AY 9944
BRD-K36258877-001-01-5	AZ 10417808
BRD-K97061094-001-03-2	Azacyclonol
BRD-K45861246-001-08-4	AZAPERONE
BRD-K32821942-001-12-2	Azathioprine;446-86-6
NGP 201-04_B05	azithromycin
BRD-K04877770-001-03-4	B581
BRD-A84189516-001-01-2	BACCATIN III
BRD-A16694057-001-03-5	BADGE
BRD-K40742111-001-02-6	BAEOMYCESIC ACID
NGP-003-05_F10	balsalazide
BRD-K40919711-001-02-4	BAPTA-AM
BRD-K15025317-001-05-2	Bay 11-7821
BRD-K54704028-001-01-3	BAY 36-7620
BRD-K18799075-001-01-0	BAY 59-3074
BRD-K39111395-001-01-6	Bcl-2 Inhibitor
BRD-K17008822-303-01-3	BD 1008 dihydrobromide
BRD-K36864847-303-01-7	BD 1047 dihydrobromide
BRD-K29668683-300-01-4	BD 1063 dihydrochloride
NGP-003-05_C09	beclomethasone
BRD-K97810537-001-03-7	Beclomethasone dipropionate
BRD-K14993104-001-03-4	Bemegride
BRD-A15131297-003-01-9	Benazepril hydrochloride
BRD-A80017228-001-15-8	BENDROFLUMETHIAZIDE
BRD-K04185004-003-03-6	Benoxinate hydrochloride
BRD-K79425933-001-03-6	Benperidol
BRD-K97688263-003-04-1	Benzamil hydrochloride
BRD-K87158025-003-01-2	BENZAMIL HYDROCHLORIDE
BRD-K76872913-001-02-8	BENZANTHRONE
NGP-003-05_H08	benzo[a]phenanthridine-10,11-diol, 5,6,6a,7,8,12b-hexahydro-, trans- [cas]
BRD-K09668667-001-02-0	BENZO[a]PYRENE
BRD-K15640888-001-06-5	Benzoic acid 5-amino-1-(4-methoxy-benzenesulfonyl)-1H-pyrazol-3-yl ester
BRD-K91699951-001-03-7	Benzonatate
BRD-K14221570-236-01-1	Benzopurpurin (B)
BRD-K70327191-001-01-4	BENZOXIQUINE
BRD-K21450440-001-08-8	BENZTHIAZIDE
BRD-A91008255-003-16-4	BEPRIDIL HYDROCHLORIDE
BRD-A15034104-002-03-6	Bergenin monohydrate
NGP-003-05_A02	bestatin
BRD-K59574735-001-05-0	Bestatin
BRD-K91315211-300-03-2	BETAHISTINE HYDROCHLORIDE
NGP 201-04_E04	betamethasone
BRD-K39188321-001-03-9	Betamethasone
BRD-A02180903-001-03-7	BETAMETHASONE
BRD-A66861218-001-03-5	BETAMETHASONE 17,21-DIPROPIONATE
BRD-A92177080-001-01-3	BETAMETHASONE ACETATE
BRD-A02759312-003-11-2	Betaxolol hydrochloride
BRD-K45401373-001-04-3	betulinic acid
BRD-K46018455-001-17-7	BEZAFIBRATE
BRD-A38913120-001-01-0	BH3I-1
BRD-A71799696-001-01-5	BH3I-1'
BRD-K75615183-300-02-1	B-HT 920
BRD-K49294207-300-01-2	BIBU 1361 dihydrochloride
BRD-K70914287-300-01-0	BIBX 1382 dihydrochloride
BRD-A29485665-001-03-7	BICALUTAMIDE
BRD-A12633378-001-05-4	Bicyclo[2.2.1]heptane-2-carboxylic acid (2,4,6-trimethyl-phenyl)-amide VU0448090-1
BRD-K18779551-003-03-7	Bifemelane hydrochloride
BRD-K28075147-001-02-5	BIOCHANIN A DIACETATE
BRD-K89210380-001-03-8	Biotin
BRD-A00546892-001-01-8	BIPERIDEN
BRD-A36471396-003-02-2	Biperiden hydrochloride
BRD-K39987650-001-15-9	BISACODYL
BRD-K49448285-001-01-3	Bisindolylmaleimide IV
BRD-A89175223-051-05-6	BISOPROLOL FUMARATE
BRD-K32906660-001-01-4	Bis-Tyrphostin
BRD-K39120595-304-03-9	BITHIONATE SODIUM
BRD-K14324645-001-04-6	BJM-AF-64 BRD-K14324645
BRD-K92817986-001-03-3	bjm-csc-19 BRD-K92817986
BRD-K94379058-001-03-5	BML-190
BRD-K32584078-001-02-3	BML-257
BRD-K56509348-003-01-3	BMS 182874 hydrochloride
BRD-K95609758-001-01-1	BMS 191011
BRD-A15435692-003-01-5	BMY 14802 hydrochloride
BRD-K84895041-001-01-6	BMY 45778
BRD-K31054881-300-01-3	BMY 7378 dihydrochloride
BRD-A55484088-050-01-7	BNTX maleate
LID-L0001	BO
BRD-K03440695-001-02-6	Boldine
BRD-A41301928-001-02-5	bongkrekic acid
BRD-K45479396-103-01-2	BP 554 maleate
BRD-A83326220-001-04-2	BRAZILIN
BRD-A17065207-001-06-9	Brefeldin A
BRD-K74913225-001-03-3	Brinzolamide
BRD-A51829654-003-02-8	BRL 15572 hydrochloride
BRD-K07507905-236-01-8	BRL 37344, sodium salt
BRD-K84266862-001-01-6	BRL 50481
BRD-A37347161-003-01-8	BRL 52537 hydrochloride
BRD-K17868609-001-02-7	BRL 54443
BRD-K47631482-003-03-9	BROMHEXINE HYDROCHLORIDE
BRD-A69960130-066-01-4	Bromocriptine mesylate
BRD-A80151636-066-03-0	BROMOCRIPTINE MESYLATE
BRD-A60274948-066-02-9	Bromocryptine mesylate
BRD-A68723818-050-18-4	BROMPHENIRAMINE MALEATE
NGP-003-05_H02	brucine
BRD-A41995253-001-03-7	BRUCINE
BRD-K55344148-003-01-8	BU 224 hydrochloride
BRD-K56115039-003-01-3	BU 226 hydrochloride
BRD-K11696279-003-01-5	BU 239 hydrochloride
BRD-A15931911-001-02-0	BUCLADESINE
BRD-A15070535-323-02-1	Bucladesine sodium salt
BRD-K25905511-001-02-4	BUDDLEOFLAVONOLOSIDE
BRD-A34299591-001-03-4	Budesonide
BRD-A82238138-001-01-7	Budesonide
BRD-A60571864-001-03-3	BUDESONIDE
BRD-K63606607-001-01-8	bufalin
BRD-A26097136-001-01-8	bulleyaconitine A
BRD-K38197229-001-17-4	BUMETANIDE
BRD-A05186015-003-09-9	BUPROPION
BRD-K93461745-003-14-4	BUSPIRONE HYDROCHLORIDE
BRD-A58157837-034-01-4	Butabindide oxalate
BRD-K17497770-001-01-0	Butein
BRD-A16665823-001-01-2	BUTOCONAZOLE
BRD-K08287586-001-08-5	BUTYL PARABEN
BRD-A22713669-001-01-9	BVT 948
BRD-A17428743-003-03-3	BW 723C86 hydrochloride
BRD-A55946879-001-02-9	BW-B 70C
BRD-A68891053-001-01-2	BW-B 70C
BRD-K43468059-001-02-9	BYSSOCHLAMIC ACID
BRD-K72462751-001-01-9	C-1
BRD-K41707108-001-03-1	C2 CERAMIDE
BRD-A56020723-001-02-0	CA-074-Me
BRD-A63043573-001-01-6	Cabergoline
BRD-K86882815-001-01-6	Cabergoline
BRD-K84709232-001-02-6	Caffeic acid phenethyl ester
BRD-K02404261-001-07-6	CAFFEINE
BRD-K56429665-001-03-9	Calcipotriol
BRD-K26134695-001-02-8	calpeptin
BRD-K59851896-001-02-4	Calycanthine
BRD-A47513740-001-02-5	calyculin A
BRD-K05563014-001-04-3	CAM-9-021 BRD-K05563014
BRD-K91442916-001-03-6	CAM-9-026 BRD-K91442916
BRD-K45399554-001-04-0	CAM-9-027 BRD-K45399554
BRD-A30437061-001-02-7	Camptothecin
BRD-A65671304-001-03-4	CANDESARTAN CILEXTIL
BRD-K46556543-237-03-0	Canrenoic acid potassium salt
BRD-A29322418-237-03-2	CANRENOIC ACID, POTASSIUM SALT
BRD-K44849676-001-05-5	Capsazepine
BRD-K27499107-001-02-6	CARBACYCLIN
BRD-K71799949-001-18-2	CARBAMAZEPINE
BRD-K71265179-001-07-8	Carbazol-9-yl-p-tolyl-methanone
BRD-K12765235-304-03-8	Carbenoxolone disodium salt
BRD-A98702003-304-03-0	CARBENOXOLONE SODIUM
NGP 201-04_A07	carbidopa
BRD-A29426959-050-07-4	CARBINOXAMINE MALEATE
BRD-K53570330-001-02-0	CARBOFURAN
BRD-K99174507-001-01-6	Cardiogenol C
BRD-K82484965-003-02-7	Carmoxirole hydrochloride
BRD-A17411484-001-05-1	CARPROFEN
BRD-A42167015-003-03-7	Carteolol hydrochloride
BRD-A10977446-001-05-5	CARVEDILOL
BRD-A61899133-002-02-2	Catechin-(+,-) hydrate
BRD-K03600606-001-02-3	CATECHIN PENTABENZOATE
BRD-K15616905-001-01-5	CCCP
BRD-K06159959-001-01-2	CCMQ
BRD-K65503129-001-01-4	CCT 018159
BRD-K10870738-001-02-4	CDC
BRD-K87932577-001-01-6	Cdk1/5 Inhibitor
BRD-K71860425-001-01-1	Cdk2/5 Inhibitor
NGP-003-05_B06	cefaclor
NGP-003-05_D10	cefdinir
NGP-003-05_C10	cefixime
BRD-K71059170-001-02-5	Cefixime
BRD-K37848908-001-03-1	Ceforanide
NGP 201-04_B04	cefotaxime
BRD-K02275692-003-03-4	Cefotiam hydrochloride
NGP 201-04_F04	celecoxib
BRD-K02637541-001-06-5	CELECOXIB
BRD-A08877921-001-02-2	CEPHALOTAXINE
BRD-A53416814-001-01-5	Ceramide
BRD-A78360835-001-01-1	cercosporin
NGP 201-04_B03	cetirizine
BRD-A42571354-300-07-0	CETIRIZINE HYDROCHLORIDE
BRD-K64341947-003-01-6	CFM 1571 hydrochloride
BRD-A50737080-001-01-4	CGK 733
BRD-A34706053-003-01-9	CGP 12177 hydrochloride
BRD-K95851186-001-02-9	CGP 13501
BRD-A31575449-300-01-4	CGP 20712 dihydrochloride
BRD-A35623999-001-04-0	CGP 37157
BRD-A04668240-001-01-5	CGP 52432
BRD-K32292990-001-01-0	CGP 53353
BRD-A55369275-003-01-2	CGP 54626 hydrochloride
BRD-A89672324-001-02-2	CGP 55845
BRD-K42500029-001-01-9	CGP 57380
BRD-K31912990-003-01-0	CGP 71683 hydrochloride
BRD-K65786282-001-02-6	CGP 7930
BRD-K18909381-001-01-4	CGS 12066B
BRD-K49049886-001-03-8	CGS 15943
BRD-K68103045-001-01-1	CGS 20625
BRD-A81866333-003-01-5	CGS 21680 hydrochloride
BRD-A26032986-050-01-3	CGS 9343B
BRD-K51290057-001-01-0	Ch 55
BRD-K32828673-002-03-9	Chelidonine (+)
BRD-K29458283-001-17-4	CHLORAMBUCIL
NGP-003-05_B10	chlordiazepoxide
BRD-A01593789-001-02-3	CHLORMADINONE ACETATE
BRD-K50422030-003-01-8	Chlormethiazole hydrochloride
BRD-K28183345-003-07-2	CHLOROGUANIDE HYDROCHLORIDE
BRD-A91699651-316-06-7	CHLOROQUINE DIPHOSPHATE
BRD-K17075857-001-06-9	CHLOROXINE
BRD-K89595132-050-03-0	CHLORPHENIRAMINE (S) MALEATE
BRD-A39230911-001-03-7	Chlorphensin carbamate
BRD-K89997465-001-05-3	CHLORPROMAZINE
BRD-K59058766-003-15-1	CHLORPROTHIXENE HYDROCHLORIDE
BRD-A41555725-003-02-7	Chlortetracycline hydrochloride
NGP 201-04_D02	chlorthalidone
BRD-A26384407-001-15-2	CHLORTHALIDONE
BRD-A83695761-001-01-1	Chromanol 293B
BRD-K67680372-003-01-8	CI 966 hydrochloride
BRD-A93000692-001-02-4	CIGLITAZONE
BRD-A90311807-236-01-4	Cilastatin sodium
BRD-A07875874-001-01-6	Cilnidipine
BRD-K28578425-001-02-1	Cilostamide
BRD-K67017579-001-16-6	CILOSTAZOL
BRD-A65440446-001-03-3	Cimaterol
BRD-K18618618-001-01-6	Cimetidine
BRD-K34157611-001-07-9	CIMETIDINE
BRD-K72816382-001-01-3	Cinalukast
BRD-K40901640-001-01-0	CINANSERIN
BRD-K15522385-003-01-0	Cinanserin hydrochloride
BRD-K14693417-001-03-2	CINCHONINE
BRD-K07220430-001-03-6	Cinnarizine
BRD-A80502530-001-01-2	cinobufagin
BRD-A49358627-001-03-9	Ciprofibrate
BRD-K54142781-003-02-7	Cirazoline hydrochloride
BRD-K06895174-001-01-0	Cisapride
BRD-K59163477-001-02-1	Cisapride
BRD-K70487031-001-01-0	cis-(Z)-FLUPENTHIXOL
NGP 201-04_A05	citalopram
BRD-A47598013-004-06-1	Citalopram hydrobromide
BRD-K53263234-001-02-9	CITCO
BRD-K00662280-001-04-5	CL 218872
BRD-K00675675-003-01-2	CL 82198 hydrochloride
BRD-K17294426-050-05-7	Clebopride maleate
BRD-K30240666-051-08-4	CLEMASTINE
BRD-K09255212-001-04-2	Clioquinol
BRD-K71430621-303-01-5	Clobenpropit dihydrobromide
BRD-A63894585-001-03-4	Clobetasol propionate
BRD-A26095496-001-03-2	CLOBETASOL PROPIONATE
BRD-K38003476-001-03-4	Clocortolone pivalate
BRD-A82371568-001-01-5	Clofarabine
BRD-K45252063-001-06-0	CLOFIBRATE
BRD-K19111024-001-08-4	Clofibric acid
BRD-K29950728-048-08-3	CLOMIPHENE CITRATE
BRD-K04218075-048-03-4	Clomiphene citrate (Z,E)
BRD-K52989797-003-13-2	Clomipramine hydrochloride
BRD-K98530306-003-07-6	CLONIDINE HYDROCHLORIDE
NGP 201-04_A04	clopidogrel
BRD-K37289225-001-19-0	Clozapine
BRD-K54095730-001-01-5	CMPD-1
BRD-K53545112-304-01-6	CNQX disodium salt
BRD-K55677650-003-01-1	Co 101244 hydrochloride
BRD-K08890269-001-01-5	Co 102862
BRD-A55416093-001-03-1	COLFORSIN
NGP-003-05_D11	corticosterone
NGP-003-05_A11	cortisone
BRD-K43736954-001-03-3	Cortisone
BRD-A54487287-001-03-9	CORTISONE ACETATE
BRD-K06467078-003-03-7	Corynanthine hydrochloride
BRD-K13642330-001-02-6	COSMOSIIN
BRD-K23913458-001-13-2	COUMARIN
BRD-K96271548-001-02-2	COUMARINIC ACID METHYL ETHER
BRD-K97509413-001-01-8	coumestrol
BRD-A03816571-001-01-0	CP 55,940
BRD-K81876028-300-01-2	CP 93129 dihydrochloride
BRD-K33860217-003-01-6	CP 94253 hydrochloride
BRD-A18202423-001-01-6	CPCCOEt
BRD-K08547377-003-03-2	CPT 11
BRD-A76093993-001-01-8	Cromakalim
BRD-K57179821-001-08-9	CROTAMITON
BRD-A49680073-001-01-9	Cucurbitacin I
BRD-K89225759-001-02-1	CUNEATIN METHYL ETHER
BRD-A64933752-001-01-0	CV 1808
BRD-A32595718-001-04-3	CVF-CSC-7 BRD-A32595718
BRD-K79353516-001-03-5	CY 208-243
BRD-K40965114-001-01-2	CYANOPINDOLOL
BRD-K89046952-001-03-4	Cyclacillin
BRD-K95992530-001-02-4	Cyclo [Arg-Gly-Asp-D-Phe-Val]
BRD-A62184259-001-02-8	Cycloheximide
BRD-K36055864-001-09-3	CYCLOHEXIMIDE
BRD-A82329351-001-02-2	cycloheximide-N-ethylethanoate
BRD-K58938839-001-03-8	cyclopamine
BRD-A41250306-001-03-4	Cyclopenthiazide
BRD-A77291778-003-15-4	CYCLOPENTOLATE HYDROCHLORIDE
BRD-A10420615-001-03-6	Cyclopiazonic Acid
BRD-A26787626-001-02-9	CYCLOPIAZONIC ACID
BRD-A38030642-001-01-2	cyclosporin A
BRD-A64290322-001-01-6	Cyclosporin A
BRD-K13533483-001-03-0	Cyclosporin A
BRD-A69815203-001-05-0	CYCLOSPORINE
BRD-A71459254-001-02-8	CYMARIN
BRD-A39290993-001-03-2	Cyproterone acetate
BRD-K09132007-001-01-8	D 4476
BRD-K26997899-001-01-4	D-64131
NGP-003-05_H09	dactinomycin
BRD-A73909368-001-01-5	DACTINOMYCIN
BRD-K42095107-001-08-0	Daidzein
BRD-K93325701-001-03-0	damnacanthal
BRD-A20243730-001-01-4	Danazol
BRD-K48970916-001-03-0	Danazol
BRD-A92537424-001-03-9	DANAZOL
BRD-K10065684-001-06-6	DANTHRON
BRD-K81272440-236-06-9	Dantrolene, sodium salt
BRD-K61269089-001-02-2	Daphnetin
BRD-A68929948-001-01-9	DAPT
BRD-K31633810-003-01-0	DAU 5884 hydrochloride
NGP 201-04_E03	daunorubicin
BRD-K43389675-001-01-3	DAUNORUBICIN
BRD-A68009927-003-02-9	Daunorubicin hydrochloride
BRD-K74430258-001-01-2	DCB
BRD-K32526544-001-01-2	DCEBIO
BRD-A39255369-001-01-5	DCPIB
BRD-A17819071-001-02-1	DEACETOXY-7-OXISOGEDUNIN
BRD-K61401890-001-04-6	DEGUELIN(-)
NGP-003-05_A06	dehydrocholic acid
BRD-K96527333-001-03-4	Dehydroisoandosterone 3-acetate
BRD-A88282067-001-02-2	Delcorine
BRD-A99177642-001-02-5	Deltaline
BRD-K37792168-001-01-0	Denbufylline
BRD-A58269583-001-02-0	DEOXYANDIROBIN LACTONE
BRD-K98521173-001-03-8	Deoxycorticosterone
BRD-K52015643-001-01-1	deoxyrhapontin
BRD-K60274257-001-01-1	Dephostatin
BRD-K68558722-001-03-2	DERACOXIB
BRD-K60762818-003-15-3	DESIPRAMINE HYDROCHLORIDE
NGP-003-05_B08	desoximetasone
BRD-A75402480-001-03-8	DESOXYCORTICOSTERONE ACETATE
BRD-A49447682-001-01-6	DESOXYMETASONE
BRD-K13819402-003-06-0	DESOXYPEGANINE HYDROCHLORIDE
BRD-K31238592-001-01-6	Devazepide
BRD-A10188456-001-03-1	DEXAMETHASONE
BRD-K47635719-001-03-9	Dexamethasone acetate
BRD-A93424738-001-03-0	DEXAMETHASONE ACETATE
NGP-003-05_C08	dexchlorpheniramine
BRD-A04553218-050-08-9	DEXCHLORPHENIRAMINE MALEATE
BRD-K24053527-004-03-8	DEXTROMETHORPHAN HYDROBROMIDE
BRD-K33211335-337-03-7	Dextromethorphan hydrobromide monohydrate
BRD-K23623876-001-01-6	DFB
BRD-K06014311-001-01-2	DH 97
BRD-K76133116-001-01-2	DHPC8_BuildingBlockC04
BRD-K16508793-001-01-8	DIAZEPAM
BRD-K73109821-001-08-6	Diazoxide
BRD-K79145749-001-01-8	DIBENZEPINE
BRD-K01555864-001-02-8	DIBENZOYLMETHANE
BRD-A04706586-236-01-7	Dibutyryl-cAMP, sodium salt
BRD-A94624445-236-02-2	dibutyrylcyclic AMP
BRD-A06726973-001-02-0	dibutyrylcyclic GMP
BRD-K12906962-001-02-1	DICHLOROBENZAMIL
BRD-K71499074-001-03-8	Dichlorphenamide
BRD-K08252256-236-17-1	DICLOFENAC SODIUM
NGP 201-04_C03	dicloxacillin
BRD-K29178788-001-02-0	DICTAMNINE
BRD-K81521265-001-02-8	DICYCLOHEXYLUREA
BRD-K68507560-003-15-4	DICYCLOMINE HYDROCHLORIDE
BRD-K95309561-001-15-5	DIENESTROL
BRD-K45542189-048-15-5	DIETHYLCARBAMAZINE CITRATE
BRD-K45330754-001-09-2	DIETHYLSTILBESTROL
BRD-K94080537-001-05-5	DIETHYLTOLUAMIDE
BRD-K17674993-001-03-1	Diflorasone Diacetate
BRD-K22031190-001-13-7	DIFLUNISAL
